CITY,STATE,TOURIST SPOT,TYPE OF ATTRACTION,SEASON,ACTIVITIES
AGRA,UTTAR PRADESH,"TAJ MAHAL, AGRA FORT, MEHTAB BAGH, FATEHPUR SIKRI","MONUMENT, FORT, GARDEN","Winter, Spring","PHOTOGRAPHY/ HISTORY TOUR/HERITAGE WALK/GUIDED TOURS/CULTURAL PHOTOGRAPHY, LIGHT AND SOUND SHOW/ HISTORICAL EXPLORATION/ ARCHITECTURAL STUDY, BOAT RIDE, FLOWER PHOTOGRAPHY, SUNSET VIEW, PICNIC, NATURE WALK, BIRD WATCHING, HERITAGE WALK, CAMPFIRE, GUIDED TOURS, RELIGIOUS VISIT, MOSQUE EXPLORATION, CULTURAL PHOTOGRAPHY"
AHMEDABAD,GUJRAT,"SABARMATI ASHRAM, KANKARIA LAKE, ISKCON TEMPLE, ADALAJ STEPWELL","MEMORIAL, LAKE, RELIGIOUS SITE, STEPWELL","Winter, Monsoon","SHOPPING/EXHIBITIONS/WORKSHOPS/CULTURAL EVENTS/MEDITATION AND RELAXATION/ LIBRARY, BOAT RIDE/BALLOON RIDE/ZOO/CHILDREN'S PARK/LIGHT AND SOUND SHOW/STREET FOOD/MINI TRAIN RIDE/RELAX, BHAJANS AND KIRTANS/ARTI/EXHIBITIONS/SPIRITUAL LECTURES/TEMPLE TOUR/SPIRITUAL GIFT SHOP/MEDITATION, ARCHITECTURAL EXPLORATION/HISTORICAL VISIT/GUIDED TOUR/SERENE ATMOSPHERE/VILLAGE/RELAXATION"
AJMER,RAJASTHAN,"AJMER SHARIF DARGAH, ANA SAGAR, AKBARI FORT AND MUSEUM, TARAGARH FORT","RELIGIOUS SITE, LAKE, MUSEUM, FORT, FORT","Winter, Monsoon","DARGAH VISIT/PRAYER/RELIGIOUS RITUALS/MARKET VISIT/SUFI CULTURE/FOOD DONATIONS, BOAT RIDE/PHOTOGRAPHY/GARDEN VISIT/PICNIC AND RELAX/SUNSET VIEW, HISTORICAL TOUR/PHOTOGRAPHY/EXHIBITIONS/MUGHAL ARCHITECTURE/GARDEN VISIT/SOUND AND LIGHT SHOW/GUIDED TOUR, HISTORICAL TOUR/PHOTOGRAPHY/PEACEFUL WALK/MUSEUM VISIT/SUNSET VIEW/SUNRISE VIEW"
ALAPPUZHA,KERALA,"BACKWATERS, ALAPPUZHA BEACH, KRISHNAPURAM PALACE","ECOSYSTEM, BEACH, FORT","Winter/Monsoon, Summer, Winter","BOAT RIDE/RELAXATION/FISHING/LOCAL FOOD/SUNSET CRUISE, BEACH ACTIVITIES/SUNSET VIEW/LIGHTHOUSE/LOCAL FOOD/SEAFOOD/BOAD RIDE/PICNIC/PEACEFUL, PALACE EXPLORATION/PHOTOGRAPHY/MESEUM VISIT/PAINTINGS AND ARTIFACTS VISIT/CULTURAL EVENTS AND ACIVITIES"
AMRITSAR,PUNJAB,"GOLDEN TEMPLE, JALLIANWALLAH BAGH, WAGAH BORDER","RELIGIOUS SITE, GARDEN, BORDER",Winter,"TEMPLE VISIT/PRAYER SESSION/LANGAR VISIT/MUSEUM VISIT/KIRTAN/MEDITATION AND RELAXATION, MEMORIAL VISIT/HISTORICAL VISIT/MESEUM VISIT/GARDEN VISIT, CEREMONY/PHOTOGRAPHY/MILITARY DISPLAY/CULTURAL DISPLAY"
AURANGABAD,MAHARASHTRA,"AJANTA CAVES, ELLORA CAVES, BIBI KA MAQBARA","CAVES, RELIGIOUS SITE",Winter,"CAVE EXPLORATION/PHOTOGRAPHY/HIKING/GUIDED TOUR/NATURE ENJOYMENT, Historical Exploration/Architectural Photography/Garden Strolls/Heritage Walks/Guided Tours/Spiritual Reflection/Cultural Education/Sunset Viewing/Picnic/Monumental Sketching"
BANARAS,UTTAR PRADESH,"KASHI VISHWANATH TEMPLE, ASSI GHAT, MANIKARNIKA GHAT, DASHASHWAMEDH GHAT","RELIGIOUS SITE, RIVER BANKS",Winter,"Darshan /Pind Daan /Ganga Aarti /Spiritual Lectures /Meditation Sessions /Vedic Rituals /Temple Art & Architecture Tour / Ganga Boat Ride / Shopping / Yoga Sessions / Heritage Walk / Cultural Dance Performances /Aarti at Ghat, Boating/Evening Ganga Aarti/Shopping at local markets/Temple visit/Meditation/Yoga/Photography/Walk along the ghats/Cultural performances/Food tasting/Visit to nearby temples/Traditional boat rides/Pilgrimage tours/Spiritual experiences, Boating / Photography / Spiritual Tour / Riverfront Walk / Witnessing Cremation Ceremonies / Visit to Kashi Vishwanath Temple / Explore Local Markets / Meditation / Evening Aarti / Cultural Experience, Boat ride / Ganga Aarti / Temple visit / Shopping at local stalls / Sunset view / Photography / Yoga / Spiritual walk / Local food tasting / Heritage walk / Cultural performances / Relaxing by the river / Historical sightseeing"
BANGLORE,KARNATAKA,"LALBAGH BOTANICAL GARDEN, BANGLORE PALACE, BANNERGHATTA NATIONAL PARK","GARDEN, FORT, NATIONAL PARK",Winter,"Botanical Tours / Photography / Bird Watching / Nature Walks / Picnic / Flower Shows / Boating / Yoga Sessions / Environmental Education / Gardening Workshops / Plant Identification / Landscape Photography / History Tours / Greenhouse Exploration / Seasonal Events, Sightseeing / Photography / Historical Tour / Royal Experience / Cultural Show / Guided Tour / Audio Tour / Garden Walk / Horse Riding / Painting Exhibition / Shopping / Royal Feast / Event Hosting / Museum Visit / Sound & Light Show, Safari / Zoo visit / Butterfly Park / Nature Walk / Bird Watching / Trekking / Crocodile Park / Elephant Ride / Camping / Photography / Boating"
BHOPAL,MADHYA PRADESH,"UPPER LAKE (BHOJTAL), SANCHI STUPA, VAN VIHAR NATIONAL PARK","LAKE, MONUMENT, NATIONAL PARK",Winter,"Boating / Sunset Viewing / Picnic / Bird Watching / Fishing / Photography / Cycling / Trekking / Water Sports / Nature Walks / Horse Riding / Canoeing / Ziplining, 

Sightseeing / Photography / Historical Tours / Cultural Exploration / Pilgrimage / Meditation / Archaeological Tours / Spiritual Experience / Nature Walks / Educational Visits / Guided Tours / Peaceful Retreat / Sculpture Viewing / Ancient Architecture Exploration / Heritage Walks / Relaxation / Yoga, 

Bird Watching / Nature Walk / Trekking / Boating / Wildlife Photography / Picnic / Eco-Tourism / Butterfly Watching / Fishing / Cycling / Camping / Flora and Fauna Exploration / Adventure Activities"
BHUBANESHWAR,ODISHA,"LINGARAJ TEMPLE, UDAIGIRI AND KHANDAGIRI CAVES, NANDANKANAN ZOOLOGICAL PARK","RELIGIOUS SITE, CAVES, ZOO",Winter,"

Darshan/Photography/Temple Tour/Spiritual Experience/Pilgrimage/Historical Exploration/Local Culture/Guided Tour/Architecture Appreciation/Sightseeing/Religious Ceremony/Prayer and Meditation, 

Cave Exploration / Hiking / Photography / Historical Tours / Archaeological Exploration / Wildlife Viewing / Picnic Spots / Yoga / Meditation / Rock Climbing / Spiritual Tours / Nature Walks / Cultural Tours / Scenic Views, Safari Ride / Lion Safari / Tiger Safari / Boat Ride / Bird Watching / Elephant Ride / Butterfly Park / Nature Walk / Animal Interaction / Zoo Visit / Reptile House / Aquarium / Zoo Education Programs / Picnic Area / Children’s Play Area"
