City,State,Tourist Spot,Type of Attraction,Season,Activities,Image,city_link
,,,,,,,
AGRA,UTTAR PRADESH,TAJ MAHAL,MONUMENT,WINTER,PHOTOGRAPHY/ HISTORY TOUR/HERITAGE WALK/GUIDED TOURS/CULTURAL PHOTOGRAPHY,image\agra\agra2.jpeg,agra.html
AGRA,UTTAR PRADESH,AGRA FORT,FORT,WINTER,LIGHT AND SOUND SHOW/ HISTORICAL EXPLORATION/ ARCHITECTURAL STUDY,image\agra\agra3.jpeg,agra.html
AGRA,UTTAR PRADESH,MEHTAB BAGH,GARDEN,SPRING,FLOWER PHOTOGRAPHY/ SUNSET VIEW/PICNIC/NATURE WALK/ BIRD WATCHING,image\agra\Top 15 Places to Visit in India.jpeg,agra.html
AGRA,UTTAR PRADESH,FATEHPUR SIKRI,MONUMENT,WINTER,HERITAGE WALK/ CAMPFIRE/ GUIDED TOURS/RELIGIOUS VISIT/ MOSQUE EXPLORATION/CULTURAL PHOTOGRAPHY,image\agra\Fatehpur Sikri once-flourishing capital of the Mughal Empire.jpeg,agra.html
AHMEDABAD,GUJRAT,SABARMATI ASHRAM,MEMORIAL,WINTER,EXHIBITIONS/WORKSHOPS/CULTURAL EVENTS/MEDITATION AND RELAXATION/ LIBRARY,image\ahemdabad\Sabarmati Ashram.jpg,ahmedabad.html
AHMEDABAD,GUJRAT,KANKARIA LAKE,LAKE,MONSOON,BOAT RIDE/BALLOON RIDE/ZOO/CHILDREN'S PARK/LIGHT AND SOUND SHOW/STREET FOOD/MINI TRAIN RIDE/RELAX,image\ahemdabad\kankaria lake.jpg,ahmedabad.html
AHMEDABAD,GUJRAT,ISKCON TEMPLE,RELIGIOUS SITE,WINTER,BHAJANS AND KIRTANS/ARTI/EXHIBITIONS/SPIRITUAL LECTURES/TEMPLE TOUR/SPIRITUAL GIFT SHOP/MEDITATION,image\ahemdabad\ISCKON_TEMPLE.jpg,ahmedabad.html
AHMEDABAD,GUJRAT,ADALAJ STEPWELL,STEPWELL,WINTER,ARCHITECTURAL EXPLORATION/HISTORICAL VISIT/GUIDED TOUR/SERENE ATMOSPHERE/VILLAGE/RELAXATION,image\ahemdabad\Adalaj Stepwell.jpg,ahmedabad.html
AJMER,RAJASTHAN,AJMER SHARIF DARGAH,RELIGIOUS SITE,WINTER,DARGAH VISIT/PRAYER/RELIGIOUS RITUALS/MARKET VISIT/SUFI CULTURE/FOOD DONATIONS,image\ajmer\ajmer_sharif_dargah.jpg,ajmer.html
AJMER,RAJASTHAN,ANA SAGAR,LAKE,MONSOON,BOAT RIDE/PHOTOGRAPHY/GARDEN VISIT/PICNIC AND RELAX/SUNSET VIEW,image\ajmer\ana_sagar.jpg,ajmer.html
AJMER,RAJASTHAN,AKBARI FORT AND MUSEUM,"MUSEUM, FORT",WINTER,HISTORICAL TOUR/PHOTOGRAPHY/EXHIBITIONS/MUGHAL ARCHITECTURE/GARDEN VISIT/SOUND AND LIGHT SHOW/GUIDED TOUR,image\ajmer\Akbari_Fort_and_Museum.jpg,ajmer.html
AJMER,RAJASTHAN,TARAGARH FORT,FORT,WINTER,HISTORICAL TOUR/PHOTOGRAPHY/PEACEFUL WALK/MUSEUM VISIT/SUNSET VIEW/SUNRISE VIEW,image\ajmer\taragarh_fort.jpg,ajmer.html
ALAPPUZHA,KERALA,BACKWATERS,ECOSYSTEM,WINTER/MONSOON,BOAT RIDE/RELAXATION/FISHING/LOCAL FOOD/SUNSET CRUISE,image\alappuzha\Allapuzha _backwaters.jpg,alappuzha.html
ALAPPUZHA,KERALA,ALAPPUZHA BEACH,BEACH,SUMMER,BEACH ACTIVITIES/SUNSET VIEW/LIGHTHOUSE/LOCAL FOOD/SEAFOOD/BOAD RIDE/PICNIC/PEACEFUL,image\alappuzha\Alappuzhabeach1.jpg,alappuzha.html
ALAPPUZHA,KERALA,KRISHNAPURAM PALACE,FORT,WINTER,PALACE EXPLORATION/PHOTOGRAPHY/MESEUM VISIT/PAINTINGS AND ARTIFACTS VISIT/CULTURAL EVENTS AND ACIVITIES,image\alappuzha\Krishnapuram Palace.jpg,alappuzha.html
AMRITSAR,PUNJAB,GOLDEN TEMPLE,RELIGIOUS SITE,WINTER,TEMPLE VISIT/PRAYER SESSION/LANGAR VISIT/MUSEUM VISIT/KIRTAN/MEDITATION AND RELAXATION,image\amritsar\golden_temple.jpg,amristsar.html
AMRITSAR,PUNJAB,JALLIANWALLAH BAGH,GARDEN,WINTER,MEMORIAL VISIT/HISTORICAL VISIT/MUSEUM VISIT/GARDEN VISIT,image\amritsar\jallianwala_bagh.jpg,amristsar.html
AMRITSAR,PUNJAB,WAGAH BORDER,BORDER,WINTER,CEREMONY/PHOTOGRAPHY/MILITARY DISPLAY/CULTURAL DISPLAY,image\amritsar\wagah_border.jpg,amristsar.html
AURANGABAD,MAHARASHTRA,AJANTA CAVES,CAVES,WINTER,CAVE EXPLORATION/PHOTOGRAPHY/HIKING/GUIDED TOUR/NATURE ENJOYMENT,image\Aurangabad\Ajanta Caves 3.jpg,aurangabad.html
AURANGABAD,MAHARASHTRA,ELLORA CAVES,CAVES,WINTER,CAVE EXPLORATION/PHOTOGRAPHY/GUIDED TOUR/NATURE ENJOYMENT,image\Aurangabad\Ellora Caves 2.1.jpg,aurangabad.html
AURANGABAD,MAHARASHTRA,BIBI KA MAQBARA,RELIGIOUS SITE,WINTER,HISTORICAL EXPLORATION/ARCHITECTURAL PHOTOGRAPHY/GARDEN STROLLS/HERITAGE WALKS/GUIDED TOURS/SPIRITUAL REFLECTION/CULTURAL EDUCATION/SUNSET VIEWING/PICNIC/MONUMENTAL SKETCHING,image\Aurangabad\Bibi Ka Maqbara 4.jpg,aurangabad.html
BANARAS,UTTAR PRADESH,KASHI VISHWANATH TEMPLE,RELIGIOUS SITE,WINTER,DARSHAN /PIND DAAN /GANGA AARTI /SPIRITUAL LECTURES /MEDITATION SESSIONS /VEDIC RITUALS /TEMPLE ART & ARCHITECTURE TOUR / GANGA BOAT RIDE / SHOPPING / YOGA SESSIONS / HERITAGE WALK / CULTURAL DANCE PERFORMANCES /AARTI AT GHAT,image\banaras\kashi_vishwanath.jpg,banaras.html
BANARAS,UTTAR PRADESH,ASSI GHAT,RIVER BANKS,WINTER,BOATING/EVENING GANGA AARTI/SHOPPING /TEMPLE VISIT/MEDITATION/YOGA/PHOTOGRAPHY/GHAT VISIT/CULTURAL PERFORMANCES/FOOD TASTING/TRADITIONAL BOAT RIDES/PILGRIMAGE TOURS/SPIRITUAL EXPERIENCES,image\banaras\assi_ghat.jpg,banaras.html
BANARAS,UTTAR PRADESH,MANIKARNIKA GHAT,RIVER BANKS,WINTER,BOATING / PHOTOGRAPHY / SPIRITUAL TOUR / RIVERFRONT WALK / SHOPPING/ MEDITATION / EVENING AARTI / CULTURAL EXPERIENCE,image\banaras\manikarnika_ghat.jpg,banaras.html
BANARAS,UTTAR PRADESH,DASHASHWAMEDH GHAT,RIVER BANKS,WINTER,BOAT RIDE / GANGA AARTI / TEMPLE VISIT / SHOPPING  / SUNSET VIEW / PHOTOGRAPHY / YOGA / SPIRITUAL WALK / LOCAL FOOD/ HERITAGE WALK / CULTURAL PERFORMANCES / RELAXING /RELAX / HISTORICAL SIGHTSEEING,image\banaras\dashashwamedh_ghat.jpg,banaras.html
BANGALORE,KARNATAKA,LALBAGH BOTANICAL GARDEN,GARDEN,WINTER,BOTANICAL TOURS / PHOTOGRAPHY / BIRD WATCHING / NATURE WALKS / PICNIC / FLOWER SHOWS / BOATING / YOGA SESSIONS / ENVIRONMENTAL EDUCATION / GARDENING WORKSHOPS / PLANT IDENTIFICATION / LANDSCAPE PHOTOGRAPHY / HISTORY TOURS / GREENHOUSE EXPLORATION ,image\bangalore\lalbagh_garden.jpg,bangalore.html
BANGALORE,KARNATAKA,BANGLORE PALACE,FORT,WINTER,SIGHTSEEING / PHOTOGRAPHY / HISTORICAL TOUR / ROYAL EXPERIENCE / CULTURAL SHOW / GUIDED TOUR / AUDIO TOUR / GARDEN WALK / HORSE RIDING / PAINTING EXHIBITION / SHOPPING / ROYAL FEAST / EVENT HOSTING / MUSEUM VISIT / SOUND & LIGHT SHOW,image\bangalore\bangalore_palace.jpg,bangalore.html
BANGALORE,KARNATAKA,BANNERGHATTA NATIONAL PARK,NATIONAL PARK,WINTER,SAFARI / ZOO VISIT  / NATURE WALK / BIRD WATCHING /PARK / ELEPHANT RIDE / CAMPING / PHOTOGRAPHY / BOATING,image\bangalore\bannerghatta_NationalPark.jpg,bangalore.html
BHOPAL,MADHYA PRADESH,UPPER LAKE (BHOJTAL),LAKE,WINTER,BOATING / SUNSET VIEWING / PICNIC / BIRD WATCHING / FISHING / PHOTOGRAPHY / CYCLING / TREKKING / WATER SPORTS / NATURE WALKS / HORSE RIDING / CANOEING / ZIPLINING,"image\bhopal\UPPER LAKE,BHOPAL.jpg",bhopal.html
