City,State,Tourist Spot,Type of Attraction,Season,Activities,Image,city_link
,,,,,,,
AGRA,UTTAR PRADESH,TAJ MAHAL,MONUMENT,Winter,PHOTOGRAPHY/ HISTORY TOUR/HERITAGE WALK/GUIDED TOURS/CULTURAL PHOTOGRAPHY,image\agra\agra2.jpeg,agra.html
AGRA,UTTAR PRADESH,AGRA FORT,FORT,Winter,LIGHT AND SOUND SHOW/ HISTORICAL EXPLORATION/ ARCHITECTURAL STUDY,image\agra\agra3.jpeg,agra.html
AGRA,UTTAR PRADESH,MEHTAB BAGH,GARDEN,Spring,FLOWER PHOTOGRAPHY/ SUNSET VIEW/PICNIC/NATURE WALK/ BIRD WATCHING,image\agra\Top 15 Places to Visit in India.jpeg,agra.html
AGRA,UTTAR PRADESH,FATEHPUR SIKRI,MONUMENT,Winter,HERITAGE WALK/ CAMPFIRE/ GUIDED TOURS/RELIGIOUS VISIT/ MOSQUE EXPLORATION/CULTURAL PHOTOGRAPHY,image\agra\Fatehpur Sikri once-flourishing capital of the Mughal Empire.jpeg,agra.html
AHMEDABAD,GUJRAT,SABARMATI ASHRAM,MEMORIAL,Winter,EXHIBITIONS/WORKSHOPS/CULTURAL EVENTS/MEDITATION AND RELAXATION/ LIBRARY,image\ahemdabad\Sabarmati Ashram.jpg,ahmedabad.html
AHMEDABAD,GUJRAT,KANKARIA LAKE,LAKE,Monsoon,BOAT RIDE/BALLOON RIDE/ZOO/CHILDREN'S PARK/LIGHT AND SOUND SHOW/STREET FOOD/MINI TRAIN RIDE/RELAX,image\ahemdabad\kankaria lake.jpg,ahmedabad.html
AHMEDABAD,GUJRAT,ISKCON TEMPLE,RELIGIOUS SITE,Winter,BHAJANS AND KIRTANS/ARTI/EXHIBITIONS/SPIRITUAL LECTURES/TEMPLE TOUR/SPIRITUAL GIFT SHOP/MEDITATION,image\ahemdabad\ISCKON_TEMPLE.jpg,ahmedabad.html
AHMEDABAD,GUJRAT,ADALAJ STEPWELL,STEPWELL,Winter,ARCHITECTURAL EXPLORATION/HISTORICAL VISIT/GUIDED TOUR/SERENE ATMOSPHERE/VILLAGE/RELAXATION,image\ahemdabad\Adalaj Stepwell.jpg,ahmedabad.html
AJMER,RAJASTHAN,AJMER SHARIF DARGAH,RELIGIOUS SITE,Winter,DARGAH VISIT/PRAYER/RELIGIOUS RITUALS/MARKET VISIT/SUFI CULTURE/FOOD DONATIONS,image\ajmer\ajmer_sharif_dargah.jpg,ajmer.html
AJMER,RAJASTHAN,ANA SAGAR,LAKE,Monsoon,BOAT RIDE/PHOTOGRAPHY/GARDEN VISIT/PICNIC AND RELAX/SUNSET VIEW,image\ajmer\ana_sagar.jpg,ajmer.html
AJMER,RAJASTHAN,AKBARI FORT AND MUSEUM,"MUSEUM, FORT",Winter,HISTORICAL TOUR/PHOTOGRAPHY/EXHIBITIONS/MUGHAL ARCHITECTURE/GARDEN VISIT/SOUND AND LIGHT SHOW/GUIDED TOUR,image\ajmer\Akbari_Fort_and_Museum.jpg,ajmer.html
AJMER,RAJASTHAN,TARAGARH FORT,FORT,Winter,HISTORICAL TOUR/PHOTOGRAPHY/PEACEFUL WALK/MUSEUM VISIT/SUNSET VIEW/SUNRISE VIEW,image\ajmer\taragarh_fort.jpg,ajmer.html
ALAPPUZHA,KERALA,BACKWATERS,ECOSYSTEM,Winter/Monsoon,BOAT RIDE/RELAXATION/FISHING/LOCAL FOOD/SUNSET CRUISE,image\alappuzha\Allapuzha _backwaters.jpg,alappuzha.html
ALAPPUZHA,KERALA,ALAPPUZHA BEACH,BEACH,Summer,BEACH ACTIVITIES/SUNSET VIEW/LIGHTHOUSE/LOCAL FOOD/SEAFOOD/BOAD RIDE/PICNIC/PEACEFUL,image\alappuzha\Alappuzha beach??.jpg,alappuzha.html
ALAPPUZHA,KERALA,KRISHNAPURAM PALACE,FORT,Winter,PALACE EXPLORATION/PHOTOGRAPHY/MESEUM VISIT/PAINTINGS AND ARTIFACTS VISIT/CULTURAL EVENTS AND ACIVITIES,image\alappuzha\Krishnapuram Palace.jpg,alappuzha.html
AMRITSAR,PUNJAB,GOLDEN TEMPLE,RELIGIOUS SITE,Winter,TEMPLE VISIT/PRAYER SESSION/LANGAR VISIT/MUSEUM VISIT/KIRTAN/MEDITATION AND RELAXATION,image\amritsar\golden_temple.jpg,amristsar.html
AMRITSAR,PUNJAB,JALLIANWALLAH BAGH,GARDEN,Winter,MEMORIAL VISIT/HISTORICAL VISIT/MUSEUM VISIT/GARDEN VISIT,image\amritsar\jallianwala_bagh.jpg,amristsar.html
AMRITSAR,PUNJAB,WAGAH BORDER,BORDER,Winter,CEREMONY/PHOTOGRAPHY/MILITARY DISPLAY/CULTURAL DISPLAY,image\amritsar\wagah_border.jpg,amristsar.html
AURANGABAD,MAHARASHTRA,AJANTA CAVES,CAVES,Winter,CAVE EXPLORATION/PHOTOGRAPHY/HIKING/GUIDED TOUR/NATURE ENJOYMENT,image\Aurangabad\Ajanta Caves 3.jpg,aurangabad.html
AURANGABAD,MAHARASHTRA,ELLORA CAVES,CAVES,Winter,CAVE EXPLORATION/PHOTOGRAPHY/GUIDED TOUR/NATURE ENJOYMENT,image\Aurangabad\Ellora Caves 2.1.jpg,aurangabad.html
AURANGABAD,MAHARASHTRA,BIBI KA MAQBARA,RELIGIOUS SITE,Winter,Historical Exploration/Architectural Photography/Garden Strolls/Heritage Walks/Guided Tours/Spiritual Reflection/Cultural Education/Sunset Viewing/Picnic/Monumental Sketching,image\Aurangabad\Bibi Ka Maqbara 4.jpg,aurangabad.html
BANARAS,UTTAR PRADESH,KASHI VISHWANATH TEMPLE,RELIGIOUS SITE,Winter,Darshan /Pind Daan /Ganga Aarti /Spiritual Lectures /Meditation Sessions /Vedic Rituals /Temple Art & Architecture Tour / Ganga Boat Ride / Shopping / Yoga Sessions / Heritage Walk / Cultural Dance Performances /Aarti at Ghat,image\banaras\kashi_vishwanath.jpg,banaras.html
BANARAS,UTTAR PRADESH,ASSI GHAT,RIVER BANKS,Winter,Boating/Evening Ganga Aarti/Shopping /Temple visit/Meditation/Yoga/Photography/Ghat visit/Cultural performances/Food tasting/Traditional boat rides/Pilgrimage tours/Spiritual experiences,image\banaras\assi_ghat.jpg,banaras.html
BANARAS,UTTAR PRADESH,MANIKARNIKA GHAT,RIVER BANKS,Winter,Boating / Photography / Spiritual Tour / Riverfront Walk / Shopping/ Meditation / Evening Aarti / Cultural Experience,image\banaras\manikarnika_ghat.jpg,banaras.html
BANARAS,UTTAR PRADESH,DASHASHWAMEDH GHAT,RIVER BANKS,Winter,Boat ride / Ganga Aarti / Temple visit / Shopping  / Sunset view / Photography / Yoga / Spiritual walk / Local food/ Heritage walk / Cultural performances / Relaxing /Relax / Historical sightseeing,image\banaras\dashashwamedh_ghat.jpg,banaras.html
BANGALORE,KARNATAKA,LALBAGH BOTANICAL GARDEN,GARDEN,Winter,Botanical Tours / Photography / Bird Watching / Nature Walks / Picnic / Flower Shows / Boating / Yoga Sessions / Environmental Education / Gardening Workshops / Plant Identification / Landscape Photography / History Tours / Greenhouse Exploration ,image\bangalore\lalbagh_garden.jpg,bangalore.html
BANGALORE,KARNATAKA,BANGLORE PALACE,FORT,Winter,Sightseeing / Photography / Historical Tour / Royal Experience / Cultural Show / Guided Tour / Audio Tour / Garden Walk / Horse Riding / Painting Exhibition / Shopping / Royal Feast / Event Hosting / Museum Visit / Sound & Light Show,image\bangalore\bangalore_palace.jpg,bangalore.html
BANGALORE,KARNATAKA,BANNERGHATTA NATIONAL PARK,NATIONAL PARK,Winter,Safari / Zoo visit  / Nature Walk / Bird Watching /Park / Elephant Ride / Camping / Photography / Boating,image\bangalore\bannerghatta_NationalPark.jpg,bangalore.html
BHOPAL,MADHYA PRADESH,UPPER LAKE (BHOJTAL),LAKE,Winter,Boating / Sunset Viewing / Picnic / Bird Watching / Fishing / Photography / Cycling / Trekking / Water Sports / Nature Walks / Horse Riding / Canoeing / Ziplining,"image\bhopal\UPPER LAKE,BHOPAL.jpg",bhopal.html
BHOPAL,MADHYA PRADESH,SANCHI STUPA,MONUMENT,Winter,Sightseeing / Photography / Historical Tours / Cultural Exploration / Pilgrimage / Meditation / Archaeological Tours / Spiritual Experience / Nature Walks / Educational Visits / Guided Tours / Peaceful Retreat / Sculpture Viewing / Ancient Architecture Exploration / Heritage Walks / Relaxation / Yoga,"image\bhopal\Sanchi Stupa, Mp-India.jpg",bhopal.html
BHOPAL,MADHYA PRADESH,VAN VIHAR NATIONAL PARK,NATIONAL PARK,Winter,Bird Watching / Nature Walk / Eco-Tourism  /  Cycling / Camping / Flora and Fauna Exploration / Adventure Activities,image\bhopal\Van Vihar National Park- An Enchanting Place for the Nature Lovers.jpg,bhopal.html
BHUBANESHWAR,ODISHA,LINGARAJ TEMPLE,RELIGIOUS SITE,Winter,Darshan/Photography/Temple Tour/Spiritual Experience/Pilgrimage/Historical Exploration/Local Culture/Guided Tour/Architecture Appreciation/Sightseeing/Religious Ceremony/Prayer and Meditation,image\bhubaneshwar\lingaraj_temple.jpg,bhubaneshwar.html
