CITY,STATE,TOURIST SPOT,TYPE OF ATTRACTION,SEASON,ACTIVITIES
AGRA,UTTAR PRADESH,"TAJ MAHAL, AGRA FORT, MEHTAB BAGH, FATEHPUR SIKRI","MONUMENT, FORT, GARDEN",Winter/Spring,"photography/ history tour/heritage walk/guided tours/cultural photography, light and sound show/ historical exploration/ architectural study/boat ride/flower photography/sunset view/picnic/nature walk/bird watching/heritage walk/campfire/guided tours/religious visit/mosque exploration/cultural photography"
AHMEDABAD,GUJRAT,"SABARMATI ASHRAM, KANKARIA LAKE, ISKCON TEMPLE, ADALAJ STEPWELL","MEMORIAL, LAKE, RELIGIOUS SITE, STEPWELL",Winter/Monsoon,"shopping/exhibitions/workshops/cultural events/meditation and relaxation/ library, boat ride/balloon ride/zoo/children's park/light and sound show/street food/mini train ride/relax/bhajans and kirtans/arti/exhibitions/spiritual lectures/temple tour/spiritual gift shop/meditation/ architectural exploration/historical visit/guided tour/serene atmosphere/village/relaxation"
AJMER,RAJASTHAN,"AJMER SHARIF DARGAH, ANA SAGAR, AKBARI FORT AND MUSEUM, TARAGARH FORT","RELIGIOUS SITE, LAKE, MUSEUM, FORT, FORT",Winter/Monsoon,"dargah visit/prayer/religious rituals/market visit/sufi culture/food donations, boat ride/photography/garden visit/picnic and relax/sunset view/ historical tour/photography/exhibitions/mughal architecture/garden visit/sound and light show/guided tour/historical tour/photography/peaceful walk/museum visit/sunset view/sunrise view"
ALAPPUZHA,KERALA,"BACKWATERS, ALAPPUZHA BEACH, KRISHNAPURAM PALACE","ECOSYSTEM, BEACH, FORT",Winter/Monsoon/Summer,boat ride/relaxation/fishing/local food/sunset cruise/beach activities/sunset view/lighthouse/local food/seafood/boad ride/picnic/peaceful/ palace exploration/photography/meseum visit/paintings and artifacts visit/cultural events and acivities
AMRITSAR,PUNJAB,"GOLDEN TEMPLE, JALLIANWALLAH BAGH, WAGAH BORDER","RELIGIOUS SITE, GARDEN, BORDER",Winter,temple visit/prayer session/langar visit/museum visit/kirtan/meditation and relaxation/memorial visit/historical visit/meseum visit/garden visit/ ceremony/photography/military display/cultural display
AURANGABAD,MAHARASHTRA,"AJANTA CAVES, ELLORA CAVES, BIBI KA MAQBARA","CAVES, RELIGIOUS SITE",Winter,cave exploration/photography/hiking/guided tour/nature enjoyment/historical exploration/architectural photography/garden strolls/heritage walks/guided tours/spiritual reflection/cultural education/sunset viewing/picnic/monumental sketching
BANARAS,UTTAR PRADESH,"KASHI VISHWANATH TEMPLE, ASSI GHAT, MANIKARNIKA GHAT, DASHASHWAMEDH GHAT","RELIGIOUS SITE, RIVER BANKS",Winter,"darshan /pind daan /ganga aarti /spiritual lectures /meditation sessions /vedic rituals /temple art & architecture tour / ganga boat ride / shopping / yoga sessions / heritage walk / cultural dance performances /aarti at ghat/boat ride/evening ganga aarti/shopping at local markets/temple visit/meditation/yoga/photography/walk along the ghats/cultural performances/food tasting/visit to nearby temples/traditional boat rides/pilgrimage tours/spiritual experiences/boat ride / photography / spiritual tour / riverfront walk / witnessing cremation ceremonies / visit to kashi vishwanath temple / explore local markets / meditation / evening aarti / cultural experience, boat ride / ganga aarti / temple visit / shopping at local stalls / sunset view / photography / yoga / spiritual walk / local food tasting / heritage walk / cultural performances / relaxing by the river / historical sightseeing"
BANGLORE,KARNATAKA,"LALBAGH BOTANICAL GARDEN, BANGLORE PALACE, BANNERGHATTA NATIONAL PARK","GARDEN, FORT, NATIONAL PARK",Winter,botanical tours / photography / bird watching / nature walks / picnic / flower shows / boat ride / yoga sessions / environmental education / gardening workshops / plant identification / landscape photography / history tours / greenhouse exploration / seasonal events/sightseeing / photography / historical tour / royal experience / cultural show / guided tour / audio tour / garden walk / horse riding / painting exhibition / shopping / royal feast / event hosting / museum visit / sound & light show/safari / zoo / butterfly park / nature walk / bird watching / trekkingking / crocodile park / elephant ride / camping / photography / boat ride
BHOPAL,MADHYA PRADESH,"UPPER LAKE (BHOJTAL), SANCHI STUPA, VAN VIHAR NATIONAL PARK","LAKE, MONUMENT, NATIONAL PARK",Winter,"boat ride / sunset viewing / picnic / bird watching / fishing / photography / cycling / trekkingking / water sports / nature walks / horse riding / canoeing / ziplining/ 

sightseeing / photography / historical tours / cultural exploration / pilgrimage / meditation / archaeological tours / spiritual experience / nature walks / educational visits / guided tours / peaceful retreat / sculpture viewing / ancient architecture exploration / heritage walks / relaxation / yoga

bird watching / nature walk / trekkingking / boat ride / wildlife photography / picnic / eco-tourism / butterfly watching / fishing / cycling / camping / flora and fauna exploration / adventure activities"
BHUBANESHWAR,ODISHA,"LINGARAJ TEMPLE, UDAIGIRI AND KHANDAGIRI CAVES, NANDANKANAN ZOOLOGICAL PARK","RELIGIOUS SITE, CAVES, ZOO",Winter,"darshan/photography/temple tour/spiritual experience/pilgrimage/historical exploration/local culture/guided tour/architecture appreciation/sightseeing/religious ceremony/prayer and meditation

cave exploration / hiking / photography / historical tours / archaeological exploration / wildlife viewing / picnic spots / yoga / meditation / rock climbing / spiritual tours / nature walks / cultural tours / scenic views, safari ride / lion safari / tiger safari / boat ride / bird watching / elephant ride / butterfly park / nature walk / animal interaction / zoo / reptile house / aquarium / zoo education programs / picnic area / children’s play area"
