CITY,STATE,TOURIST SPOT,TYPE OF ATTRACTION,SEASON,ACTIVITIES
,,,,,
AGRA,UTTAR PRADESH,TAJ MAHAL,MONUMENT,Winter,PHOTOGRAPHY/ HISTORY TOUR/HERITAGE WALK/GUIDED TOURS/CULTURAL PHOTOGRAPHY
AGRA,UTTAR PRADESH,AGRA FORT,FORT,Winter,LIGHT AND SOUND SHOW/ HISTORICAL EXPLORATION/ ARCHITECTURAL STUDY
AGRA,UTTAR PRADESH,MEHTAB BAGH,GARDEN,Spring,FLOWER PHOTOGRAPHY/ SUNSET VIEW/PICNIC/NATURE WALK/ BIRD WATCHING
AGRA,UTTAR PRADESH,FATEHPUR SIKRI,MONUMENT,Winter,HERITAGE WALK/ CAMPFIRE/ GUIDED TOURS/RELIGIOUS VISIT/ MOSQUE EXPLORATION/CULTURAL PHOTOGRAPHY
AHMEDABAD,GUJRAT,SABARMATI ASHRAM,MEMORIAL,Winter,EXHIBITIONS/WORKSHOPS/CULTURAL EVENTS/MEDITATION AND RELAXATION/ LIBRARY
AHMEDABAD,GUJRAT,KANKARIA LAKE,LAKE,Monsoon,BOAT RIDE/BALLOON RIDE/ZOO/CHILDREN'S PARK/LIGHT AND SOUND SHOW/STREET FOOD/MINI TRAIN RIDE/RELAX
AHMEDABAD,GUJRAT,ISKCON TEMPLE,RELIGIOUS SITE,Winter,BHAJANS AND KIRTANS/ARTI/EXHIBITIONS/SPIRITUAL LECTURES/TEMPLE TOUR/SPIRITUAL GIFT SHOP/MEDITATION
AHMEDABAD,GUJRAT,ADALAJ STEPWELL,STEPWELL,Winter,ARCHITECTURAL EXPLORATION/HISTORICAL VISIT/GUIDED TOUR/SERENE ATMOSPHERE/VILLAGE/RELAXATION
AJMER,RAJASTHAN,AJMER SHARIF DARGAH,RELIGIOUS SITE,Winter,DARGAH VISIT/PRAYER/RELIGIOUS RITUALS/MARKET VISIT/SUFI CULTURE/FOOD DONATIONS
AJMER,RAJASTHAN,ANA SAGAR,LAKE,Monsoon,BOAT RIDE/PHOTOGRAPHY/GARDEN VISIT/PICNIC AND RELAX/SUNSET VIEW
AJMER,RAJASTHAN,AKBARI FORT AND MUSEUM,"MUSEUM, FORT",Winter,HISTORICAL TOUR/PHOTOGRAPHY/EXHIBITIONS/MUGHAL ARCHITECTURE/GARDEN VISIT/SOUND AND LIGHT SHOW/GUIDED TOUR
AJMER,RAJASTHAN,TARAGARH FORT,FORT,Winter,HISTORICAL TOUR/PHOTOGRAPHY/PEACEFUL WALK/MUSEUM VISIT/SUNSET VIEW/SUNRISE VIEW
ALAPPUZHA,KERALA,BACKWATERS,ECOSYSTEM,Winter/Monsoon,BOAT RIDE/RELAXATION/FISHING/LOCAL FOOD/SUNSET CRUISE
ALAPPUZHA,KERALA,ALAPPUZHA BEACH,BEACH,Summer,BEACH ACTIVITIES/SUNSET VIEW/LIGHTHOUSE/LOCAL FOOD/SEAFOOD/BOAD RIDE/PICNIC/PEACEFUL
ALAPPUZHA,KERALA,KRISHNAPURAM PALACE,FORT,Winter,PALACE EXPLORATION/PHOTOGRAPHY/MESEUM VISIT/PAINTINGS AND ARTIFACTS VISIT/CULTURAL EVENTS AND ACIVITIES
AMRITSAR,PUNJAB,GOLDEN TEMPLE,RELIGIOUS SITE,Winter,TEMPLE VISIT/PRAYER SESSION/LANGAR VISIT/MUSEUM VISIT/KIRTAN/MEDITATION AND RELAXATION
